angular_coord, radial_coord, label,type
0,1,"""Confirmed""","""sun"""
0,0.96779387,"""Deaths""","""planet"""
4.783788813,0.96779387,"""Neighbors""","""planet"""
4.569589314,0.24385586,"""Measures""","""planet"""
1.713595993,0.68897829,"""Trends""","""planet"""
2.250012,0.17482298,"""Tweets""","""moon"""
2.192409,0.49888116,"""Pop""","""moon"""
3.488445,0.25264166,"""Young""","""moon"""
3.427191986,0.3239101,"""Elderly""","""planet_moon"""
2.284794657,0.52632641,"""GDP""","""planet_moon"""
5.569186977,0.22491564,"""Health exp""","""planet"""
3.99839065,0.20621249,"""Internet""","""planet"""
